MODEL,PRED_DOCKQ
model_5_multimer_20220423_748853_tidy,0.83056176
model_5_multimer_20220423_528879_tidy,0.7939553
model_5_multimer_20220423_477418_tidy,0.5796465
ranked_0_tidy,0.35556275
model_4_multimer_20220423_110354_tidy,0.35556275
model_4_multimer_20220423_662178_tidy,0.34797892
model_4_multimer_20220423_748853_tidy,0.33224636
model_1_multimer_20220423_477418_tidy,0.28160763
model_3_multimer_20220423_528879_tidy,0.13236867
model_2_multimer_20220423_110354_tidy,0.09818833
ranked_3_tidy,0.09818833
model_1_multimer_20220423_748853_tidy,0.09098957
model_1_multimer_20220423_528879_tidy,0.079558305
model_1_multimer_20220423_662178_tidy,0.071731746
model_2_multimer_20220423_528879_tidy,0.07057187
model_4_multimer_20220423_528879_tidy,0.070194796
model_5_multimer_20220423_110354_tidy,0.06826942
ranked_1_tidy,0.06826942
model_4_multimer_20220423_477418_tidy,0.06807576
model_2_multimer_20220423_477418_tidy,0.06094312
model_3_multimer_20220423_662178_tidy,0.060428366
model_3_multimer_20220423_748853_tidy,0.05807717
model_2_multimer_20220423_662178_tidy,0.05725248
model_5_multimer_20220423_662178_tidy,0.0475935
model_2_multimer_20220423_748853_tidy,0.046767168
model_3_multimer_20220423_477418_tidy,0.03919049
ranked_2_tidy,0.038812153
model_1_multimer_20220423_110354_tidy,0.038812153
model_3_multimer_20220423_110354_tidy,0.031797122
ranked_4_tidy,0.031797122
